Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
HDFC BSE India Sector Leaders Index Fund-Reg(G),Arun Agarwal,186.3,4.96,71351,65082 ,65472,65082
Old Bridge Arbitrage Fund-Reg(G),Kenneth Andrade,188.5,4.87,71000,0 ,0,0
ICICI Pru Nifty LargeMidcap 250 Index Fund-Reg(G),Nishit Patel,279.6,3.26,70406,65677 ,64214,62712
Motilal Oswal Contra Fund-Reg(G),Ankit Agarwal,315.8,2.88,70308,21878 ,0,0
Baroda BNP Paribas Equity Savings Fund-Reg(G),Jitendra Sriram,278.5,3.21,68980,45480 ,45480,45480
Motilal Oswal Infrastructure Fund-Reg(G),Ajay Khandelwal,145.9,6.09,68633,68633 ,98173,80173
LIC MF BSE Sensex Index Fund-Reg(G),Nikhil Kapoor,90.5,9.64,67436,67436 ,67707,67455
HDFC Retirement Savings Fund-Hybrid-Debt Plan-Reg(G),Srinivasan Ramamurthy,149.7,5.75,66500,66500 ,66500,66500
Shriram Multi Sector Rotation Fund-Reg(G),Prateek Nigudkar,172.2,4.77,63410,63410 ,63410,0
Baroda BNP Paribas Arbitrage Fund-Reg(G),Neeraj Saxena,1146.8,0.71,63000,0 ,0,0
Nippon India Conservative Hybrid Fund(G),Sushil Budhia,967.5,0.84,62676,62676 ,62676,62676
Unifi Flexi Cap Fund-Reg(G),Saravanan V N,199.9,4.01,62000,59000 ,59000,59000
Bank of India Large Cap Fund-Reg(G),Alok Singh,220.4,3.58,61000,61000 ,61000,55000
Kotak Nifty 100 Low Volatility 30 ETF,Devender Singhal,227.5,3.44,60421,43671 ,40843,38922
Kotak Dividend Yield Fund-Reg(G),Shibani Kurian,235.5,3.31,60200,60200 ,60200,60200
Franklin India Retirement Fund(G),Anuj Tagra,495.8,1.57,60000,70000 ,70000,70000
Union Arbitrage Fund-Reg(G),Vishal Thakker,245.9,3.13,59500,59500 ,59500,59500
Motilal Oswal Nifty Energy ETF,Swapnil P Mayekar,77.8,9.89,59453,55281 ,44694,40320
HDFC NIFTY100 Low Volatility 30 Index Fund-Reg(G),Arun Agarwal,222.0,3.44,58952,52271 ,53394,53526
UTI Quant Fund-Reg(G),Sharwan Kumar Goyal,1546.9,0.48,57897,57897 ,57897,58404
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,743.0,0.98,56448,56448 ,56448,56448
Altiva Equity Ex-Top 100 Long-Short Fund-Reg(G),Nikhil Gada,440.4,1.66,56409,0 ,0,0
Invesco India Nifty 50 ETF,Abhisek Bahinipati,91.4,7.96,56273,56134 ,56134,56175
PGIM India Aggressive Hybrid Equity Fund(G),Sharma Vivek,205.4,3.51,55736,55736 ,55736,55736
Mirae Asset Infrastructure Fund-Reg(G),Bharti Sawant,446.6,1.57,54250,54250 ,54250,50000
Shriram Multi Asset Allocation Fund-Reg(G),Prateek Nigudkar,139.4,5.02,54031,44339 ,44339,43819
JM ELSS Tax Saver Fund(G),Deepak Gupta.,232.4,2.97,53400,53400 ,53400,53400
Mirae Asset Nifty EV and New Age Automotive ETF,Ekta Gala,173.6,3.93,52778,42204 ,41165,40231
Bank of India Balanced Advantage Fund-Reg(G),Alok Singh,169.8,4.01,52573,52573 ,52573,52573
Helios Balanced Advantage Fund-Reg(G),Alok Bahl,290.9,2.33,52408,128408 ,128408,129461
Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund-Reg(G),Nitin Sharma,72.9,9.03,50841,52510 ,46414,46716
Baroda BNP Paribas Retirement Fund-Reg(G),Silky Jain,395.5,1.64,50000,81900 ,81900,81900
Shriram Flexi Cap Fund-Reg(G),Prateek Nigudkar,132.5,4.79,49060,49060 ,49060,29950
Motilal Oswal Nifty 50 ETF,Swapnil P Mayekar,77.9,7.97,47989,34835 ,34447,34465
LIC MF ULIS,Dikshit Mittal,441.0,1.40,47826,47826 ,47826,47826
PGIM India Arbitrage Fund-Reg(G),Chetan Chavan,94.3,6.52,47500,0 ,0,0
The Wealth Company Flexi Cap Fund-Reg(G),Aparna Shanker,240.5,2.42,44978,59978 ,41478,41478
Mirae Asset Nifty 50 Index Fund-Reg(G),Ekta Gala,72.3,7.98,44549,36383 ,37499,33907
Mahindra Manulife Innovation Opportunities Fund-Reg(G),Kirti Dalvi,205.5,2.78,44175,44175 ,44175,44175
Navi Flexi Cap Fund-Reg(G),Ashutosh Shirwaikar,280.7,1.98,43000,43000 ,43000,43000
Bajaj Finserv ELSS Tax Saver Fund-Reg(G),Nimesh Chandan,87.4,6.32,42691,35509 ,35509,35509
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Viral Mehta,68.9,7.96,42375,42375 ,42685,43158
Axis BSE Sensex Index Fund-Reg(G),Nandik Mallik,54.5,9.62,40471,39099 ,38642,47530
Union Retirement Fund-Reg(G),Pratik Dharmshi,206.3,2.51,40000,40000 ,36500,36500
WOC Aggressive Hybrid Fund-Reg(G),Ramesh Mantri,311.6,1.66,39961,0 ,0,0
Navi Large & Midcap Fund-Reg(G),Ashutosh Shirwaikar,310.1,1.65,39600,39600 ,39600,39600
Quantum Nifty 50 ETF,Hitendra Parekh,62.7,7.99,38716,38534 ,38346,49636
HDFC NIFTY 100 Equal Weight Index Fund-Reg(G),Arun Agarwal,505.1,0.99,38646,29748 ,27993,27343
ICICI Pru Nifty50 Equal Weight Index Fund-Reg(G),Nishit Patel,250.6,1.98,38305,32957 ,31992,30988
Edelweiss Nifty LargeMidcap 250 ETF,Bhavesh Jain,152.0,3.26,38258,37183 ,32911,32162
Zerodha Nifty 50 ETF,Kedarnath Mirajkar,61.5,7.96,37877,38489 ,35307,34143
ICICI Pru Quant Fund(G),Roshan Chutkey,150.3,3.26,37842,0 ,0,0
PGIM India Multi Asset Allocation Fund-Reg(G),Utsav Mehta,281.0,1.73,37661,37661 ,37661,37661
ITI Bharat Consumption Fund-Reg(G),Animesh Singh,357.4,1.31,36143,36143 ,31046,31046
HDFC Nifty Top 20 Equal Weight Index Fund-Reg(G),Arun Agarwal,90.7,4.95,34702,29414 ,28563,27268
HDFC NIFTY50 Value 20 ETF,Arun Agarwal,35.6,12.47,34308,0 ,0,0
Baroda BNP Paribas Nifty 50 Index Fund-Reg(G),Neeraj Saxena,54.6,7.95,33579,34497 ,34643,35926
WOC Balanced Hybrid Fund-Reg(G),Ramesh Mantri,291.8,1.48,33289,33289 ,31340,29943
Mirae Asset BSE Sensex ETF,Ekta Gala,44.5,9.62,33055,31918 ,31911,31911
Nippon India Quant Fund(G),Shirish Guthe,114.8,3.72,33000,48000 ,48000,48000
Axis Conservative Hybrid Fund-Reg(G),Devang Shah,220.7,1.89,32282,32282 ,32282,32282
Kotak Nifty Top 10 Equal Weight Index Fund-Reg(G),Satish Dondapati,40.7,10.00,31429,26923 ,26514,26713
ICICI Pru Nifty 500 Index Fund-Reg(G),Nishit Patel,90.9,4.44,31222,30980 ,29781,26205
Groww Arbitrage Fund-Reg(G),Paras Matalia,92.6,4.33,31000,0 ,0,0
PGIM India Equity Savings Fund(G),Anandha Padmanabhan Anjeneyan,60.2,6.51,30280,7780 ,7780,8045
Kotak NIFTY 100 Low Volatility 30 Index Fund-Reg(G),Satish Dondapati,113.1,3.45,30161,27211 ,26862,28066
Baroda BNP Paribas Childrens Fund-Reg(G),Silky Jain,121.3,3.20,30000,31500 ,31500,31500
Navi Nifty India Manufacturing Index Fund-Reg(G),Ashutosh Shirwaikar,78.4,4.91,29753,24373 ,24652,24274
Aditya Birla SL Retirement Fund-30-Reg(G),Jonas Bhutta,463.6,0.79,28264,28264 ,28264,28264
PGIM India Retirement Fund-Reg(G),Vinay Paharia,103.2,3.48,27761,27761 ,27761,27761
Mahindra Manulife Arbitrage Fund-Reg(G),Mitul Doshi,126.4,2.82,27500,0 ,0,0
Mirae Asset Nifty50 Equal Weight ETF,Ekta Gala,175.7,1.98,26835,22950 ,19556,19364
Union Equity Savings Fund-Reg(G),Sanjay Bembalkar,141.5,2.43,26600,38198 ,38198,38198
The Wealth Company Multi Asset Allocation Fund-Reg(G),Aparna Shanker,188.0,1.83,26557,26557 ,20857,20857
TRUSTMF Arbitrage Fund-Reg(G),Mihir Vora,123.3,2.78,26500,20000 ,26000,9000
Aditya Birla SL Retirement Fund-40-Reg(G),Harshil Suvarnkar,113.2,3.01,26304,26304 ,26304,26304
ITI Business Cycle Fund-Reg(G),Nilay Dalal,113.6,2.73,23934,23934 ,23934,28568
Bajaj Finserv Nifty 50 Index Fund-Reg(G),Ilesh Savla,38.4,7.97,23686,23447 ,23401,23222
Canara Rob Conservative Hybrid Fund-Reg(G),Avnish Jain,868.3,0.34,23100,23100 ,23100,23100
Helios Arbitrage Fund-Reg(G),Alok Bahl,146.1,2.04,23000,23000 ,10500,0
HDFC Nifty 100 ETF,Arun Agarwal,45.5,6.52,22897,22696 ,22691,23089
UTI NIFTY50 Equal Weight Index Fund-Reg(G),Sharwan Kumar Goyal,147.8,1.98,22584,18813 ,18033,17348
Taurus ELSS Tax Saver Fund-Reg(G),Anuj Kapil,70.4,4.15,22574,22574 ,9655,0
Groww Value Fund-Reg(G),Anupam Tiwari,70.8,4.08,22322,22322 ,18637,18637
Navi Aggressive Hybrid Fund-Reg(G),Ashutosh Shirwaikar,114.1,2.50,22023,22023 ,22023,22023
Union Childrens Fund-Reg(G),Gaurav Chopra,89.8,3.14,21802,21802 ,21802,21802
Edelweiss Nifty Alpha Low Volatility 30 Index Fund-Reg(G),Bhavesh Jain,95.4,2.95,21759,24001 ,24160,26366
Mirae Asset Nifty500 Multicap 50:25:25 ETF,Ekta Gala,85.0,3.26,21383,21209 ,20322,19608
Bandhan Nifty Total Market Index Fund-Reg(G),Abhishek Jain,63.6,4.27,20991,15183 ,14054,13655
Groww Nifty 50 ETF,Aakash Chauhan,33.3,7.97,20478,19814 ,18896,16949
Motilal Oswal BSE 1000 Index Fund-Reg(G),Swapnil P Mayekar,62.4,4.23,20407,20491 ,20289,19540
Angel One Nifty 50 Index Fund-Reg(G),Mehul Dama,33.0,7.97,20341,20150 ,19525,18851
Groww ELSS Tax Saver Fund-Reg(G),Paras Matalia,50.6,5.19,20309,20624 ,20279,20279
Angel One Nifty Total Market Index Fund-Reg(G),Mehul Dama,60.5,4.26,19897,19591 ,19379,18845
Motilal Oswal Nifty 50 Equal Weight ETF,Swapnil P Mayekar,129.6,1.98,19789,17025 ,17021,16954
Motilal Oswal BSE Low Volatility Index Fund-Reg(G),Swapnil P Mayekar,85.9,2.96,19642,20266 ,21150,23099
Quant Equity Savings Fund-Reg(G),Sanjeev Sharma,51.9,4.87,19500,0 ,14000,14000
ICICI Pru Nifty EV & New Age Automotive ETF,Nishit Patel,62.8,3.94,19122,14969 ,14153,12750
Franklin India Conservative Hybrid Fund(G),Rohan Maru,193.6,1.27,19000,19000 ,19000,19000
Motilal Oswal BSE Low Volatility ETF,Swapnil P Mayekar,80.0,2.97,18369,14811 ,15445,15636
Shriram ELSS Tax Saver Fund-Reg(G),Prateek Nigudkar,47.0,5.03,18250,18250 ,18250,10720
Kotak BSE Sensex ETF,Satish Dondapati,24.5,9.62,18191,18205 ,18200,18204
Nippon India Retirement Fund-Income Generation(G),Pranay Sinha,144.4,1.61,18000,18000 ,18000,18000
Bank of India Multi Asset Allocation Fund-Reg(G),Mithraem Bharucha,364.7,0.62,17500,17500 ,17500,10000
Shriram Balanced Advantage Fund-Reg(G),Prateek Nigudkar,42.9,5.21,17269,16665 ,16665,16665
Taurus Large Cap Fund-Reg(G),Anuj Kapil,51.9,4.27,17135,17135 ,13541,11541
HDFC BSE 500 ETF,Arun Agarwal,49.1,4.52,17132,8150 ,8151,8132
Shriram Aggressive Hybrid Fund-Reg(G),Prateek Nigudkar,49.8,4.44,17093,13659 ,13659,13479
Kotak BSE Sensex Index Fund-Reg(G),Satish Dondapati,22.9,9.63,17006,15920 ,15061,12119
Axis Retirement Fund-Conservative Plan-Reg(G),Jayesh Sundar,47.8,4.58,16918,16918 ,16918,16918
Mirae Asset Nifty Total Market Index Fund-Reg(G),Ekta Gala,51.2,4.26,16838,16753 ,16763,16537
UTI Nifty Alpha Low-Volatility 30 Index Fund-Reg(G),Sharwan Kumar Goyal,73.5,2.94,16681,18318 ,18631,18639
Tata Retirement Sav Fund - Cons Plan(G),Sonam Udasi,168.0,1.25,16200,16200 ,16200,16200
Groww Nifty 50 Index Fund-Reg(G),Aakash Chauhan,25.7,7.96,15844,14390 ,13794,12944
SBI Nifty100 Low Volatility 30 Index Fund-Reg(G),Viral Chhadva,59.5,3.43,15796,13391 ,13520,13398
ICICI Pru LT Wealth Enhancement Fund(G),Rajat Chandak,38.2,5.07,14956,14956 ,14956,14956
Nippon India Nifty India Manufacturing Index Fund-Reg(G),Himanshu Mange,38.8,4.91,14695,11995 ,12294,11718
Navi BSE Sensex Index Fund-Reg(G),Ashutosh Shirwaikar,19.3,9.61,14324,14649 ,14590,14391
SBI Equity Minimum Variance Fund-Reg(G),Sukanya Ghosh,209.3,0.88,14166,14166 ,14166,13605
Angel One Nifty Total Market ETF,Mehul Dama,42.8,4.26,14092,14043 ,14043,14054
Bandhan Nifty 50 ETF,Abhishek Jain,22.2,7.97,13665,13626 ,13626,13632
Angel One Nifty 50 ETF,Mehul Dama,22.0,7.96,13554,13523 ,13342,12442
ICICI Pru Nifty Top 15 Equal Weight Index Fund-Reg(G),Nishit Patel,26.5,6.60,13499,11811 ,11545,11263
Groww Aggressive Hybrid Fund-Reg(G),Paras Matalia,51.0,3.37,13281,13514 ,12623,10148
Invesco India BSE Sensex Index Fund-Reg(G),Abhisek Bahinipati,17.1,9.56,12669,12864 ,0,0
Mirae Asset Nifty 100 Low Volatility 30 ETF,Ekta Gala,46.7,3.44,12407,10332 ,10330,10330
Axis BSE India Sector Leaders Index Fund-Reg(G),Nandik Mallik,32.3,4.97,12407,11368 ,11908,12660
WOC Equity Savings Fund-Reg(G),Ramesh Mantri,273.3,0.56,11872,45528 ,35360,37109
Arudha Hybrid Long-Short Fund-Reg(G),Kapil Kankonkar,109.4,1.36,11500,11500 ,11500,4500
UTI Nifty India Manufacturing Index Fund-Reg(G),Sharwan Kumar Goyal,29.4,4.91,11143,9559 ,9073,8864
Choice Nifty 50 Index Fund-Reg(G),Rochan Pattnayak,17.9,7.94,11003,11106 ,10718,0
Edelweiss BSE Sensex ETF,Bhavesh Jain,14.6,9.62,10853,10967 ,10853,10711
Bandhan BSE India Sector Leaders Index Fund-Reg(G),Abhishek Jain,25.9,4.98,9970,9064 ,9412,9333
Edelweiss Nifty 50 ETF,Bhavesh Jain,15.8,7.95,9681,9681 ,9681,9650
Kotak Nifty 50 Equal Weight Index Fund-Reg(G),Satish Dondapati,61.0,1.98,9326,7888 ,7816,8630
LIC MF Conservative Hybrid Fund(G),Pratik Shroff,46.6,2.51,9031,9031 ,9031,9031
Mirae Asset Nifty LargeMidcap 250 Index Fund-Reg(G),Ekta Gala,35.8,3.26,9014,8551 ,9343,8955
Sundaram Nifty 100 Equal Weight Fund(G),Rohit Seksaria,142.4,0.81,8926,8822 ,8822,8755
Edelweiss Nifty LargeMidcap250 Plus 8-13 yr G-Sec 70:30 Index Fund-Reg(G),Bhavesh Jain,49.6,2.27,8702,7467 ,7263,0
Bank of India Midcap Tax Fund-Sr 1-Reg(G),Nilesh Jethani,65.1,1.55,7800,7800 ,7800,7800
Motilal Oswal Nifty 100 ETF,Swapnil P Mayekar,15.4,6.51,7763,7205 ,6604,6008
Nippon India Nifty 500 Equal Weight Index Fund-Reg(G),Jitendra Tolani,505.6,0.20,7739,6770 ,5461,5262
Apex Hybrid Long-Short Fund-Reg(G),Lovelish Solanki,80.5,1.21,7500,10000 ,6500,0
ICICI Pru Nifty Top 15 Equal Weight ETF,Nishit Patel,14.7,6.60,7488,6205 ,4889,4395
Groww Nifty 200 ETF,Aakash Chauhan,18.4,5.23,7427,6810 ,6698,6137
Navi Nifty 500 Multicap 50:25:25 Index Fund-Reg(G),Ashutosh Shirwaikar,27.0,3.22,6709,6589 ,6391,6336
SBI Nifty50 Equal Weight ETF,Viral Chhadva,37.2,1.98,5681,5018 ,5061,4824
Aditya Birla SL MSCI India ETF,Mehul Dama,11.0,6.07,5159,4737 ,4611,4613
DSP Nifty 500 Index Fund-Reg(G),Anil Ghelani,15.0,4.45,5148,4796 ,4603,4219
Mirae Asset Nifty Top 20 Equal Weight ETF,Ritesh Patel,12.8,4.94,4892,4235 ,4054,3521
Taurus Infrastructure Fund-Reg(G),Anuj Kapil,8.9,6.99,4802,4802 ,4802,4802
SBI BSE 100 ETF,Raviprakash Sharma,9.5,6.35,4639,4684 ,4684,4670
Capitalmind Arbitrage Fund-Reg(G),Anoop Vijaykumar,21.2,2.75,4500,0 ,0,0
Bank of India Midcap Tax Fund-Sr 2-Reg(G),Nilesh Jethani,32.5,1.63,4100,4100 ,4100,4100
Taurus Nifty 50 Index Fund-Reg(G),Anuj Kapil,6.5,7.92,3952,3915 ,3914,3762
Nippon India Nifty India Manufacturing ETF,Jitendra Tolani,9.6,4.87,3608,3053 ,3053,4065
Kotak Nifty 100 Equal Weight Index Fund-Reg(G),Satish Dondapati,44.2,0.99,3383,2752 ,2693,2586
HDFC NIFTY100 Low Volatility 30 ETF,Arun Agarwal,12.5,3.43,3324,2800 ,2732,2734
LIC MF Equity Savings Fund(G),Siddharth Panjwani,36.4,1.10,3081,3081 ,3081,3456
Sundaram Conservative Hybrid Fund(G),Kumaresh Ramakrishnan,18.7,2.08,3000,3000 ,3000,3000
DSP BSE Sensex ETF,Anil Ghelani,4.0,9.60,2965,2826 ,2532,2386
360 ONE MSCI India ETF,Viral Mehta,6.4,5.93,2925,2814 ,0,0
Bank of India Conservative Hybrid Fund-Reg(G),Alok Singh,65.1,0.58,2900,2900 ,2900,2900
Kotak Nifty 100 Equal Weight ETF,Satish Dondapati,29.4,0.99,2245,1674 ,1255,794
Bandhan Nifty Alpha Low Volatility 30 Index Fund-Reg(G),Abhishek Jain,8.8,2.94,1992,2289 ,2318,2260
DSP MSCI India ETF,Anil Ghelani,3.3,6.02,1533,1533 ,1493,1493
Kotak Nifty Alpha Low-Volatility 30 Index Fund-Reg(G),Satish Dondapati,6.2,2.94,1404,0 ,0,0
Bandhan BSE Sensex ETF,Abhishek Jain,1.2,9.60,868,872 ,871,871
Mirae Asset BSE 200 Equal Weight ETF,Ekta Gala,19.4,0.50,743,715 ,715,618
Motilal Oswal Nifty India Manufacturing ETF,Swapnil P Mayekar,1.6,4.91,600,504 ,504,628
Bajaj Finserv Equity Savings Fund-Reg(G),Sorbh Gupta,37.3,0.17,500,1582 ,1582,1582
DynaSIF Equity Long-Short Fund-Reg(G),Harsh Aggarwal,-,-,0,14000,0,29000
360 ONE Flexicap Fund-Reg(G),Mayur Patel,-,-,0,0 ,0,279417
Axis Quant Fund-Reg(G),Nandik Mallik,-,-,0,62500 ,0,28187
Bandhan Small Cap Fund-Reg(G),Manish Gunwani,-,-,0,0 ,0,240000
Baroda BNP Paribas Conservative Hybrid Fund-Reg(G),Paresh Jain,-,-,0,65900 ,65900,65900
Baroda BNP Paribas Innovation Fund-Reg(G),Jitendra Sriram,-,-,0,50000 ,162600,162600
Aditya Birla SL Large & Mid Cap Fund-Reg(G),Vishal Gajwani,-,-,0,313094 ,313094,313094
Aditya Birla SL Business Cycle Fund-Reg(G),Pavas Pethia,-,-,0,51578 ,371578,412645
Capitalmind Flexi Cap Fund-Reg(G),Anoop Vijaykumar,-,-,0,0 ,0,46639
Groww Largecap Fund-Reg(G),Anupam Tiwari,-,-,0,0 ,0,29459
HSBC Midcap Fund-Reg(G),Cheenu Gupta,-,-,0,0 ,0,792975
iSIF Equity Ex-Top 100 Long-Short Fund-Reg(G),Sankaran Naren,-,-,0,0 ,7794,151794
ICICI Pru Innovation Fund-Reg(G),Vaibhav Dusad,-,-,0,0 ,530000,400000
Kotak ESG Exclusionary Strategy Fund-Reg(G),Mandar Pawar,-,-,0,0 ,0,65185
LIC MF Balanced Advantage Fund-Reg(G),Manoj Bajpai,-,-,0,0 ,224839,224839
LIC MF Value Fund-Reg(G),Mahesh Bendre,-,-,0,13833 ,13833,13833
LIC MF Multi Asset Allocation Fund-Reg(G),Sumit Bhatnagar,-,-,0,0 ,82897,82897
LIC MF Large & Midcap Fund-Reg(G),Sudhanshu Asthana,-,-,0,0 ,0,467763
LIC MF Multi Cap Fund-Reg(G),Dikshit Mittal,-,-,0,0 ,179337,179337
Motilal Oswal Flexi Cap Fund-Reg(G),Ajay Khandelwal,-,-,0,0 ,0,2401369
Motilal Oswal Focused Fund-Reg(G),Atul Mehra,-,-,0,0 ,352430,325956
Motilal Oswal Balanced Advantage Fund-Reg(G),Atul Mehra,-,-,0,0 ,154912,101855
Motilal Oswal Multi Cap Fund-Reg(G),Atul Mehra,-,-,0,0 ,645480,645480
Navi ELSS Tax Saver Fund-Reg(G),Ashutosh Shirwaikar,-,-,0,0 ,0,18536
Nippon India Innovation Fund-Reg(G),Vinay Sharma,-,-,0,0 ,81000,431000
Nippon India Small Cap Fund(G),Samir Rachh,-,-,0,0 ,0,1298635
Qsif Hybrid Long-Short Fund-Reg(G),Sandeep Tandon,-,-,0,89812 ,0,28202
Qsif Equity Ex-Top 100 Long-Short Fund-Reg(G),Sandeep Tandon,-,-,0,100879 ,0,0
Qsif Active Asset Allocator Long-Short Fund-Reg(G),Sandeep Tandon,-,-,0,29494 ,0,0
Qsif Equity Long-Short Fund-Reg(G),Sandeep Tandon,-,-,0,352453 ,0,27000
Quant Business Cycle Fund-Reg(G),Sandeep Tandon,-,-,0,0 ,58556,0
Quant Aggressive Hybrid Fund(G),Sandeep Tandon,-,-,0,1326264 ,1092264,580100
Quant Commodities Fund-Reg(G),Sandeep Tandon,-,-,0,229735 ,229735,186735
Quant Dynamic Asset Allocation Fund-Reg(G),Sandeep Tandon,-,-,0,611782 ,611782,390002
Quant Multi Cap Fund(G),Sandeep Tandon,-,-,0,2416035 ,2416035,1644035
Quant Multi Asset Allocation Fund(G),Sandeep Tandon,-,-,0,3383841 ,1956166,852638
Quant Large & Mid Cap Fund(G),Sandeep Tandon,-,-,0,2064172 ,2064172,1593842
Quant Small Cap Fund(G),Sandeep Tandon,-,-,0,20102601 ,20102601,18567876
Quant Large Cap Fund-Reg(G),Sandeep Tandon,-,-,0,2070034 ,2070034,1624987
Quant Focused Fund(G),Sandeep Tandon,-,-,0,542596 ,542596,397096
Quant Mid Cap Fund(G),Sandeep Tandon,-,-,0,3457653 ,3457653,1059653
Quant Flexi Cap Fund(G),Sandeep Tandon,-,-,0,1500001 ,1500001,1500001
Quant Quantamental Fund-Reg(G),Sandeep Tandon,-,-,0,613039 ,613039,464039
Quant ELSS Tax Saver Fund(G),Sandeep Tandon,-,-,0,8703382 ,8703382,7821223
Samco Special Opportunities Fund-Reg(G),Umeshkumar Mehta,-,-,0,0 ,18974,0
SBI LT Advantage Fund-IV-Reg(G),Nidhi Chawla,-,-,0,54000 ,54000,54000
SBI Retirement Benefit Fund-Aggressive Plan-Reg(G),Rohit Shimpi,-,-,0,1231000 ,1231000,1231000
SBI Retirement Benefit Fund-Aggressive Hybrid Plan-Reg(G),Rohit Shimpi,-,-,0,520000 ,520000,520000
SBI Retirement Benefit Fund-Conservative Hybrid Plan-Reg(G),Rohit Shimpi,-,-,0,39400 ,43100,43100
SBI Retirement Benefit Fund-Conservative Plan-Reg(G),Rohit Shimpi,-,-,0,11550 ,12650,13250
Sundaram Large and Mid Cap Fund(G),Madanagopal Ramu,-,-,0,0 ,0,1107259
Sundaram Business Cycle Fund-Reg(G),Madanagopal Ramu,-,-,0,0 ,0,360853
Titanium Hybrid Long-Short Fund-Reg(G),Suraj Nanda,-,-,0,95000 ,0,95000
The Wealth Company Arbitrage Fund-Reg(G),Rouhak Shah,-,-,0,0 ,11500,0
The Wealth Company Balanced Advantage Fund-Reg(G),Aparna Shanker,-,-,0,10675 ,8450,9200
The Wealth Company Small Cap Fund-Reg(G),Aparna Shanker,-,-,0,0 ,0,2400
WSIF Equity Long-Short Fund-Reg(G),Chinmay Sathe,-,-,0,7200 ,0,0

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
