Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
HDFC Nifty 50 ETF,Arun Agarwal,5319.6,7.97,3276900,3256231 ,3241675,3192771
SBI Flexicap Fund-Reg(G),Anup Upadhyay,22685.1,1.86,3269667,3269667 ,3269667,4901667
Mirae Asset Nifty 50 ETF,Ekta Gala,5209.3,7.97,3208633,3222879 ,3212780,3160322
ICICI Pru Large & Mid Cap Fund(G),Lalit Kumar,30971.1,1.32,3154285,3154285 ,3154285,3154285
Tata Balanced Adv Fund-Reg(G),Rahul Singh (Tata),8834.2,4.61,3146730,3146730 ,3146730,3146730
Franklin India Opportunities Fund(G),R. Janakiraman,9192.1,4.32,3070606,3070606 ,3070606,2107409
DSP India T.I.G.E.R Fund-Reg(G),Rohit Singhania,6263.5,6.24,3020622,1983815 ,679580,679580
Franklin India Large Cap Fund(G),Venkatesh Sanjeevi,7255.7,5.24,2936448,2936448 ,2936448,3138273
UTI Arbitrage Fund-Reg(G),Sharwan Kumar Goyal,11324.1,3.35,2936000,2522500 ,2179000,2234000
Canara Rob ELSS Tax Saver-Reg(G),Vishal Mishra,8636.8,4.18,2787000,2602000 ,2527000,2512000
DSP ELSS Tax Saver Fund-Reg(G),Rohit Singhania,16562.4,2.15,2757341,0 ,0,0
Nippon India Flexi Cap Fund-Reg(G),Meenakshi Dawar,9590.2,3.55,2633624,2633624 ,2633624,2633624
Sundaram Aggressive Hybrid Fund(G),S. Bharath,8940.5,3.74,2584469,3210808 ,2587628,2537858
Edelweiss Arbitrage Fund-Reg(G),Bhavesh Jain,15062.3,2.16,2510500,2699500 ,1585000,1238000
Axis Arbitrage Fund-Reg(G),Devang Shah,10362.4,3.13,2507500,0 ,0,0
Mirae Asset Aggressive Hybrid Fund-Reg(G),Harshad Borawake,9426.2,3.44,2507068,2267068 ,2267068,2237068
Axis Large & Mid Cap Fund-Reg(G),Shreyash Devalkar,16469.3,1.97,2501336,2501336 ,2501336,2801336
